,0,1,2
100,"[19.250817894650115, -99.25583556469013]","[19.212677047683112, -99.302143970052]",1611
101,"[19.250817894650115, -99.25583556469013]","[19.260036669744057, -99.39534166191987]",4874
102,"[19.250817894650115, -99.25583556469013]","[19.293661871392363, -99.29865490593097]",3694
103,"[19.250817894650115, -99.25583556469013]","[19.3065061616201, -99.39325293491389]",3573
104,"[19.250817894650115, -99.25583556469013]","[19.267786613473948, -99.28242028807253]",3117
105,"[19.33954768146602, -99.37505054799445]","[19.212677047683112, -99.302143970052]",4896
106,"[19.33954768146602, -99.37505054799445]","[19.260036669744057, -99.39534166191987]",2895
107,"[19.33954768146602, -99.37505054799445]","[19.293661871392363, -99.29865490593097]",2642
108,"[19.33954768146602, -99.37505054799445]","[19.3065061616201, -99.39325293491389]",1405
109,"[19.33954768146602, -99.37505054799445]","[19.267786613473948, -99.28242028807253]",4405
110,"[19.212677047683112, -99.302143970052]","[19.260036669744057, -99.39534166191987]",4102
111,"[19.212677047683112, -99.302143970052]","[19.293661871392363, -99.29865490593097]",4788
112,"[19.212677047683112, -99.302143970052]","[19.3065061616201, -99.39325293491389]",3790
113,"[19.212677047683112, -99.302143970052]","[19.267786613473948, -99.28242028807253]",4304
114,"[19.260036669744057, -99.39534166191987]","[19.293661871392363, -99.29865490593097]",4788
115,"[19.260036669744057, -99.39534166191987]","[19.3065061616201, -99.39325293491389]",1911
116,"[19.260036669744057, -99.39534166191987]","[19.267786613473948, -99.28242028807253]",4673
117,"[19.293661871392363, -99.29865490593097]","[19.3065061616201, -99.39325293491389]",1911
118,"[19.293661871392363, -99.29865490593097]","[19.267786613473948, -99.28242028807253]",4673
119,"[19.3065061616201, -99.39325293491389]","[19.267786613473948, -99.28242028807253]",4673
