,0,1,2
267,"[19.543669463894723, -99.27755231685443]","[19.46909015651368, -99.41351017908747]",7298
268,"[19.543669463894723, -99.27755231685443]","[19.451386763323626, -99.04376442644046]",3061
269,"[19.543669463894723, -99.27755231685443]","[19.541477905262493, -99.15827775883594]",4764
270,"[19.543669463894723, -99.27755231685443]","[19.57033974755775, -98.99451031049122]",3570
271,"[19.543669463894723, -99.27755231685443]","[19.388703464526824, -99.32040873553096]",2533
272,"[19.543669463894723, -99.27755231685443]","[19.348982397554433, -99.41006897111343]",3469
273,"[19.543669463894723, -99.27755231685443]","[19.390355974676364, -99.0435674876742]",3420
274,"[19.543669463894723, -99.27755231685443]","[19.401774570971646, -99.13377210325966]",2455
275,"[19.543669463894723, -99.27755231685443]","[19.351671178252396, -98.94924235289035]",4174
276,"[19.543669463894723, -99.27755231685443]","[19.548575142493583, -99.37652508939676]",2495
277,"[19.543669463894723, -99.27755231685443]","[19.305285452158095, -99.39848815802986]",2461
278,"[19.543669463894723, -99.27755231685443]","[19.558083310147587, -99.36167145413054]",2908
279,"[19.543669463894723, -99.27755231685443]","[19.426591104675204, -99.04418893786857]",3336
280,"[19.543669463894723, -99.27755231685443]","[19.23446706792206, -98.89768460764665]",5559
281,"[19.543669463894723, -99.27755231685443]","[19.40323083429086, -99.21244696325431]",1699
282,"[19.543669463894723, -99.27755231685443]","[19.200480785694886, -99.06857299540648]",5299
283,"[19.543669463894723, -99.27755231685443]","[19.344505860824373, -99.41412558420897]",2995
284,"[19.543669463894723, -99.27755231685443]","[19.215753641338598, -99.28784104799603]",4846
285,"[19.543669463894723, -99.27755231685443]","[19.24683845748336, -99.16126488643575]",3547
286,"[19.543669463894723, -99.27755231685443]","[19.46402657190602, -99.40537685887924]",2843
287,"[19.543669463894723, -99.27755231685443]","[19.51300807969795, -99.09908971871336]",2181
288,"[19.543669463894723, -99.27755231685443]","[19.395573146114494, -99.02745525551764]",3484
289,"[19.543669463894723, -99.27755231685443]","[19.331528330318065, -98.95977721631968]",4278
290,"[19.543669463894723, -99.27755231685443]","[19.403378299014182, -98.90786505654526]",4848
291,"[19.543669463894723, -99.27755231685443]","[19.302691102166445, -99.1503164683647]",3079
292,"[19.543669463894723, -99.27755231685443]","[19.55346843309786, -99.09301184954363]",3604
293,"[19.543669463894723, -99.27755231685443]","[19.368244338285994, -99.18597834552118]",2090
294,"[19.543669463894723, -99.27755231685443]","[19.527845824899295, -98.88916567643976]",3871
295,"[19.543669463894723, -99.27755231685443]","[19.433791636511348, -99.03026835731171]",3626
296,"[19.543669463894723, -99.27755231685443]","[19.497206150321375, -99.09281546705141]",2499
297,"[19.543669463894723, -99.27755231685443]","[19.309437134330768, -99.16548155568837]",2908
298,"[19.543669463894723, -99.27755231685443]","[19.24660725229904, -98.91261159582325]",5026
299,"[19.543669463894723, -99.27755231685443]","[19.216767628615436, -99.20382009440948]",4705
300,"[19.543669463894723, -99.27755231685443]","[19.24366307743769, -99.37410378989058]",2611
301,"[19.543669463894723, -99.27755231685443]","[19.230187704759373, -99.19245863465683]",4122
302,"[19.543669463894723, -99.27755231685443]","[19.288005908707827, -99.13134020603029]",2959
303,"[19.543669463894723, -99.27755231685443]","[19.31276644796084, -99.25649244905321]",3239
304,"[19.543669463894723, -99.27755231685443]","[19.54353502594405, -99.15314941659909]",1828
305,"[19.543669463894723, -99.27755231685443]","[19.443585462844418, -99.19964300755342]",1333
306,"[19.543669463894723, -99.27755231685443]","[19.400198487232096, -99.253841107874]",1975
307,"[19.543669463894723, -99.27755231685443]","[19.210003017001746, -99.37239974791837]",4486
308,"[19.543669463894723, -99.27755231685443]","[19.371642414581164, -99.2880756962674]",1840
309,"[19.543669463894723, -99.27755231685443]","[19.513652688390795, -99.42268188847717]",2189
310,"[19.543669463894723, -99.27755231685443]","[19.394717011022145, -99.06394165309631]",2970
311,"[19.543669463894723, -99.27755231685443]","[19.533143078706075, -99.24848762553006]",793
312,"[19.543669463894723, -99.27755231685443]","[19.32225543254924, -99.16119649805853]",3085
313,"[19.543669463894723, -99.27755231685443]","[19.283233143613977, -99.38244708305169]",2304
314,"[19.543669463894723, -99.27755231685443]","[19.21726790349794, -99.32291114051043]",5164
315,"[19.543669463894723, -99.27755231685443]","[19.576890751979587, -99.05542416734598]",2677
316,"[19.543669463894723, -99.27755231685443]","[19.52439810239925, -99.27650785811961]",615
317,"[19.543669463894723, -99.27755231685443]","[19.224898463487445, -99.24117238947034]",4329
318,"[19.543669463894723, -99.27755231685443]","[19.34732888152316, -99.26713604804236]",2323
319,"[19.543669463894723, -99.27755231685443]","[19.28635405427697, -99.01378764315798]",4399
320,"[19.543669463894723, -99.27755231685443]","[19.53511504704348, -98.97984672757082]",4173
321,"[19.543669463894723, -99.27755231685443]","[19.250817894650115, -99.25583556469013]",3919
322,"[19.543669463894723, -99.27755231685443]","[19.43308341504041, -99.33368387654899]",1234
323,"[19.543669463894723, -99.27755231685443]","[19.38101255009176, -99.19348543899147]",1972
324,"[19.543669463894723, -99.27755231685443]","[19.40159581833263, -99.13649229548915]",2479
325,"[19.543669463894723, -99.27755231685443]","[19.299795680691915, -99.19771371374877]",2429
326,"[19.543669463894723, -99.27755231685443]","[19.373737396301504, -99.21457092202904]",2332
327,"[19.543669463894723, -99.27755231685443]","[19.33954768146602, -99.37505054799445]",3160
328,"[19.543669463894723, -99.27755231685443]","[19.468374993447767, -99.33004489823131]",1654
329,"[19.543669463894723, -99.27755231685443]","[19.373907586588626, -98.9863277974932]",3948
